# Moment      
# CofR        : (-1.000000e+01 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1              -7.327582e-01 -2.760252e+02 1.625996e+01 -7.328046e-01 -2.760531e+02 1.625482e+01 4.639079e-05 2.793663e-02 5.142258e-03
2              -1.977672e-01 -6.706795e+01 5.103432e+00 -1.999057e-01 -6.814244e+01 5.116680e+00 2.138465e-03 1.074489e+00 -1.324795e-02
3              4.148369e-02 7.171787e+01 3.545233e+01 3.764827e-02 7.035018e+01 3.559167e+01 3.835416e-03 1.367688e+00 -1.393397e-01
4              -2.159160e-01 2.152494e+02 1.204161e+02 -2.189412e-01 2.143931e+02 1.205573e+02 3.025162e-03 8.562530e-01 -1.411886e-01
5              1.157281e+00 1.399445e+02 -9.164378e+01 1.156199e+00 1.390704e+02 -9.177313e+01 1.082312e-03 8.741233e-01 1.293581e-01
6              -3.819239e-01 5.588871e+01 8.867088e+01 -3.838870e-01 5.507913e+01 8.864377e+01 1.963052e-03 8.095781e-01 2.711048e-02
7              2.860806e-01 2.677894e+01 -1.576417e+01 2.832667e-01 2.616665e+01 -1.559597e+01 2.813970e-03 6.122897e-01 -1.681966e-01
8              -3.242152e-01 2.029849e+01 6.523502e+01 -3.270909e-01 1.989988e+01 6.542709e+01 2.875695e-03 3.986053e-01 -1.920685e-01
9              3.302633e-01 3.793991e+01 -2.701022e+01 3.275617e-01 3.762106e+01 -2.683905e+01 2.701582e-03 3.188546e-01 -1.711707e-01
10             -7.143009e-02 5.212864e+01 2.895696e+01 -7.074962e-02 5.172483e+01 2.860160e+01 -6.804661e-04 4.038008e-01 3.553581e-01
11             2.077168e-01 6.686306e+01 -6.696108e+00 2.049559e-01 6.666141e+01 -6.591502e+00 2.760985e-03 2.016557e-01 -1.046061e-01
12             1.890107e-01 6.926809e+01 -5.469429e-01 1.861923e-01 6.903841e+01 -4.323723e-01 2.818390e-03 2.296819e-01 -1.145707e-01
13             2.796274e-01 6.845368e+01 -1.328766e+01 2.755950e-01 6.810304e+01 -1.294667e+01 4.032461e-03 3.506483e-01 -3.409910e-01
14             2.277239e-01 5.970233e+01 -9.478026e+00 2.247192e-01 5.932632e+01 -9.194218e+00 3.004728e-03 3.760145e-01 -2.838079e-01
15             2.320811e-01 4.641892e+01 -1.570907e+01 2.297667e-01 4.616274e+01 -1.545246e+01 2.314363e-03 2.561787e-01 -2.566125e-01
16             1.867170e-01 3.511389e+01 -1.405393e+01 1.853980e-01 3.490903e+01 -1.389356e+01 1.318959e-03 2.048635e-01 -1.603654e-01
17             1.594908e-01 2.681262e+01 -1.362975e+01 1.584196e-01 2.669644e+01 -1.347778e+01 1.071229e-03 1.161811e-01 -1.519739e-01
18             1.655411e-01 2.222320e+01 -1.655762e+01 1.644728e-01 2.207476e+01 -1.639752e+01 1.068320e-03 1.484385e-01 -1.601057e-01
19             1.355726e-01 1.972292e+01 -1.472589e+01 1.351215e-01 1.959744e+01 -1.461928e+01 4.510705e-04 1.254832e-01 -1.066101e-01
20             1.495066e-01 1.839497e+01 -1.849437e+01 1.485906e-01 1.824614e+01 -1.830820e+01 9.159872e-04 1.488328e-01 -1.861734e-01
21             1.241630e-01 1.595263e+01 -1.662411e+01 1.240484e-01 1.580854e+01 -1.653399e+01 1.145870e-04 1.440878e-01 -9.011643e-02
22             1.205574e-01 1.116691e+01 -1.742921e+01 1.196638e-01 1.106060e+01 -1.723672e+01 8.935454e-04 1.063101e-01 -1.924939e-01
23             8.897709e-02 5.348299e+00 -1.434529e+01 8.871362e-02 5.262726e+00 -1.423224e+01 2.634659e-04 8.557327e-02 -1.130538e-01
24             7.450278e-02 -1.178211e-01 -1.322171e+01 7.393117e-02 -1.692405e-01 -1.306006e+01 5.716132e-04 5.141939e-02 -1.616503e-01
25             4.523966e-02 -4.254357e+00 -9.471026e+00 4.506150e-02 -4.273021e+00 -9.359627e+00 1.781556e-04 1.866440e-02 -1.113983e-01
26             3.432499e-02 -7.216336e+00 -7.687232e+00 3.383187e-02 -7.219816e+00 -7.522398e+00 4.931259e-04 3.479783e-03 -1.648344e-01
27             8.647809e-03 -8.582817e+00 -3.528214e+00 8.579059e-03 -8.571098e+00 -3.415339e+00 6.875017e-05 -1.171937e-02 -1.128747e-01
28             1.082744e-03 -9.160238e+00 -1.785280e+00 6.405541e-04 -9.140650e+00 -1.618355e+00 4.421897e-04 -1.958865e-02 -1.669254e-01
29             -1.553830e-02 -9.165101e+00 1.074484e+00 -1.572134e-02 -9.131382e+00 1.197426e+00 1.830388e-04 -3.371932e-02 -1.229422e-01
30             -1.986207e-02 -9.209696e+00 2.014958e+00 -2.009828e-02 -9.190676e+00 2.135396e+00 2.362146e-04 -1.902023e-02 -1.204383e-01
31             -3.121481e-02 -9.320416e+00 3.701607e+00 -3.120094e-02 -9.284566e+00 3.771352e+00 -1.386852e-05 -3.585007e-02 -6.974504e-02
32             -3.409874e-02 -9.200496e+00 4.208602e+00 -3.419850e-02 -9.175360e+00 4.277623e+00 9.976344e-05 -2.513598e-02 -6.902109e-02
33             -3.921490e-02 -8.810480e+00 5.005629e+00 -3.909270e-02 -8.781816e+00 5.027370e+00 -1.222055e-04 -2.866395e-02 -2.174129e-02
34             -3.635568e-02 -8.132359e+00 4.685808e+00 -3.632066e-02 -8.115410e+00 4.705271e+00 -3.501346e-05 -1.694886e-02 -1.946324e-02
35             -3.533514e-02 -7.537746e+00 4.492309e+00 -3.520910e-02 -7.521684e+00 4.485962e+00 -1.260397e-04 -1.606231e-02 6.346365e-03
36             -3.225821e-02 -7.248409e+00 3.853102e+00 -3.216916e-02 -7.238451e+00 3.843132e+00 -8.904688e-05 -9.957815e-03 9.970276e-03
37             -3.059093e-02 -7.275870e+00 3.235905e+00 -3.043976e-02 -7.266836e+00 3.213124e+00 -1.511738e-04 -9.034564e-03 2.278045e-02
38             -2.805973e-02 -7.465730e+00 2.453312e+00 -2.790132e-02 -7.456857e+00 2.428701e+00 -1.584061e-04 -8.873028e-03 2.461135e-02
39             -2.626876e-02 -7.672130e+00 1.821322e+00 -2.606523e-02 -7.659316e+00 1.789766e+00 -2.035340e-04 -1.281365e-02 3.155580e-02
40             -2.388450e-02 -7.822805e+00 1.202669e+00 -2.367799e-02 -7.807625e+00 1.172751e+00 -2.065067e-04 -1.517997e-02 2.991813e-02
41             -2.193572e-02 -7.928137e+00 7.132868e-01 -2.169810e-02 -7.906914e+00 6.808019e-01 -2.376121e-04 -2.122321e-02 3.248490e-02
42             -1.977743e-02 -7.973851e+00 2.434621e-01 -1.954523e-02 -7.949704e+00 2.138724e-01 -2.322041e-04 -2.414719e-02 2.958966e-02
43             -1.811095e-02 -7.949077e+00 -1.126615e-01 -1.786786e-02 -7.918951e+00 -1.419313e-01 -2.430933e-04 -3.012552e-02 2.926980e-02
44             -1.645873e-02 -7.852261e+00 -4.197706e-01 -1.622140e-02 -7.819759e+00 -4.467955e-01 -2.373265e-04 -3.250201e-02 2.702483e-02
45             -1.509051e-02 -7.689446e+00 -6.419833e-01 -1.486043e-02 -7.651759e+00 -6.669304e-01 -2.300825e-04 -3.768713e-02 2.494713e-02
46             -1.380627e-02 -7.440476e+00 -7.985828e-01 -1.358886e-02 -7.400809e+00 -8.208926e-01 -2.174080e-04 -3.966779e-02 2.230983e-02
47             -1.269337e-02 -7.093052e+00 -8.711760e-01 -1.248868e-02 -7.050024e+00 -8.913211e-01 -2.046834e-04 -4.302833e-02 2.014516e-02
48             -1.158310e-02 -6.634051e+00 -8.798993e-01 -1.139332e-02 -6.590085e+00 -8.977555e-01 -1.897773e-04 -4.396583e-02 1.785615e-02
49             -1.051490e-02 -6.098006e+00 -8.402826e-01 -1.033780e-02 -6.053462e+00 -8.565938e-01 -1.770977e-04 -4.454373e-02 1.631116e-02
50             -9.346352e-03 -5.471974e+00 -7.623226e-01 -9.183612e-03 -5.428711e+00 -7.769391e-01 -1.627406e-04 -4.326309e-02 1.461648e-02
51             -8.211669e-03 -4.848283e+00 -6.819179e-01 -8.061220e-03 -4.806732e+00 -6.948518e-01 -1.504482e-04 -4.155100e-02 1.293397e-02
52             -7.104530e-03 -4.258624e+00 -6.088800e-01 -6.967041e-03 -4.220108e+00 -6.199136e-01 -1.374896e-04 -3.851566e-02 1.103363e-02
53             -6.158857e-03 -3.751385e+00 -5.443531e-01 -6.032667e-03 -3.715560e+00 -5.536480e-01 -1.261904e-04 -3.582467e-02 9.294894e-03
54             -5.464438e-03 -3.385738e+00 -5.044895e-01 -5.347895e-03 -3.353054e+00 -5.122306e-01 -1.165435e-04 -3.268356e-02 7.741126e-03
55             -5.056367e-03 -3.134703e+00 -4.714322e-01 -4.946999e-03 -3.104026e+00 -4.778222e-01 -1.093681e-04 -3.067727e-02 6.389941e-03
56             -5.082808e-03 -3.056280e+00 -4.380273e-01 -4.979258e-03 -3.027297e+00 -4.428265e-01 -1.035494e-04 -2.898302e-02 4.799279e-03
57             -5.503086e-03 -3.100204e+00 -3.907680e-01 -5.400212e-03 -3.071979e+00 -3.943259e-01 -1.028744e-04 -2.822494e-02 3.557889e-03
58             -6.203575e-03 -3.226842e+00 -3.331032e-01 -6.099336e-03 -3.198508e+00 -3.354307e-01 -1.042385e-04 -2.833314e-02 2.327434e-03
59             -7.101939e-03 -3.403543e+00 -2.667708e-01 -6.991841e-03 -3.374293e+00 -2.683597e-01 -1.100982e-04 -2.925017e-02 1.588824e-03
60             -8.062999e-03 -3.603922e+00 -2.001700e-01 -7.946837e-03 -3.572923e+00 -2.009430e-01 -1.161618e-04 -3.099973e-02 7.729730e-04
61             -8.985941e-03 -3.800810e+00 -1.369300e-01 -8.861583e-03 -3.767664e+00 -1.372438e-01 -1.243584e-04 -3.314600e-02 3.137569e-04
62             -9.762324e-03 -3.954223e+00 -7.556000e-02 -9.630851e-03 -3.918734e+00 -7.536819e-02 -1.314722e-04 -3.548832e-02 -1.918177e-04
63             -1.029269e-02 -4.030563e+00 -1.783094e-02 -1.015499e-02 -3.993117e+00 -1.741343e-02 -1.377021e-04 -3.744575e-02 -4.175113e-04
64             -1.052118e-02 -4.006868e+00 3.644198e-02 -1.037989e-02 -3.968162e+00 3.711047e-02 -1.412905e-04 -3.870579e-02 -6.684808e-04
65             -1.043552e-02 -3.886708e+00 8.132394e-02 -1.029152e-02 -3.847643e+00 8.176041e-02 -1.439956e-04 -3.906524e-02 -4.364626e-04
66             -1.005580e-02 -3.690804e+00 1.125416e-01 -9.917781e-03 -3.652180e+00 1.133880e-01 -1.380197e-04 -3.862402e-02 -8.463697e-04
67             -9.513861e-03 -3.449587e+00 1.342268e-01 -9.382551e-03 -3.412756e+00 1.350053e-01 -1.313104e-04 -3.683050e-02 -7.784852e-04
68             -8.935062e-03 -3.210862e+00 1.453840e-01 -8.814007e-03 -3.176200e+00 1.461698e-01 -1.210546e-04 -3.466224e-02 -7.857613e-04
69             -8.460387e-03 -3.020726e+00 1.503171e-01 -8.351007e-03 -2.988612e+00 1.511294e-01 -1.093799e-04 -3.211373e-02 -8.122560e-04
70             -8.145409e-03 -2.912114e+00 1.467663e-01 -8.050007e-03 -2.882041e+00 1.479105e-01 -9.540245e-05 -3.007325e-02 -1.144285e-03
71             -8.107118e-03 -2.898147e+00 1.474812e-01 -8.014874e-03 -2.869946e+00 1.477235e-01 -9.224321e-05 -2.820160e-02 -2.423083e-04
