# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   	k_solver      	k_initial     	k_final       	k_iters       	k_converged   	omega_solver  	omega_initial 	omega_final   	omega_iters   	omega_converged	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	smoothSolver	1.000000e+00	9.569950e-02	12	1.000000e+00	9.890030e-02	12	1.000000e+00	8.738080e-02	13	false	smoothSolver	1.000000e+00	6.032070e-02	4	true	smoothSolver	1.446610e-01	9.427170e-03	3	true	GAMG	1.000000e+00	6.361740e-03	10	true
2             	smoothSolver	3.446740e-01	2.777660e-02	11	7.551020e-01	6.707220e-02	11	5.239510e-01	4.868680e-02	11	false	smoothSolver	7.628610e-01	6.047740e-02	3	true	smoothSolver	1.036840e-01	6.940680e-03	5	true	GAMG	2.469690e-01	2.181670e-03	6	true
3             	smoothSolver	3.951370e-01	3.852950e-02	6	5.881380e-01	5.638610e-02	7	4.833060e-01	4.412900e-02	8	false	smoothSolver	1.054490e-01	8.733110e-03	3	true	smoothSolver	4.614860e-02	2.436670e-03	4	true	GAMG	5.074250e-01	4.347190e-03	8	true
4             	smoothSolver	4.023050e-01	3.025950e-02	7	5.566860e-01	4.494550e-02	7	4.570120e-01	3.856680e-02	7	false	smoothSolver	6.353860e-02	5.237910e-03	3	true	smoothSolver	3.730220e-02	2.268070e-03	3	true	GAMG	9.553830e-02	8.138320e-04	12	true
5             	smoothSolver	3.385100e-01	3.326560e-02	6	4.561600e-01	3.768800e-02	7	3.465510e-01	2.962070e-02	7	false	smoothSolver	5.578180e-02	4.986220e-03	3	true	smoothSolver	2.567750e-02	1.526740e-03	3	true	GAMG	9.901430e-02	9.353080e-04	11	true
6             	smoothSolver	2.601490e-01	2.399740e-02	7	4.016270e-01	3.480700e-02	7	2.836570e-01	2.302270e-02	7	false	smoothSolver	6.206300e-02	4.902750e-03	3	true	smoothSolver	2.345000e-02	1.380320e-03	3	true	GAMG	1.209610e-01	1.162130e-03	11	true
7             	smoothSolver	2.348200e-01	2.020400e-02	7	3.691970e-01	3.308430e-02	7	2.425850e-01	2.183290e-02	7	false	smoothSolver	6.942120e-02	5.188020e-03	3	true	smoothSolver	2.407090e-02	1.146910e-03	3	true	GAMG	1.267580e-01	1.135060e-03	11	true
8             	smoothSolver	2.501680e-01	2.466450e-02	6	4.102230e-01	3.795790e-02	6	2.595430e-01	2.581980e-02	6	false	smoothSolver	6.422940e-02	4.481970e-03	3	true	smoothSolver	2.247750e-02	1.009320e-03	3	true	GAMG	1.218860e-01	1.113430e-03	10	true
9             	smoothSolver	2.160870e-01	1.769380e-02	7	3.658020e-01	2.917020e-02	7	2.268620e-01	1.785980e-02	7	false	smoothSolver	6.843370e-02	4.147170e-03	3	true	smoothSolver	2.086960e-02	9.395740e-04	3	true	GAMG	1.135580e-01	1.070110e-03	10	true
10            	smoothSolver	1.967100e-01	1.607730e-02	7	3.929320e-01	3.338700e-02	6	2.196580e-01	1.680920e-02	7	false	smoothSolver	5.932310e-02	3.514350e-03	3	true	smoothSolver	1.976210e-02	8.555990e-04	3	true	GAMG	1.090810e-01	1.040090e-03	10	true
