# Moment      
# CofR        : (-1.000000e+01 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1              -5.410752e-06 -1.805802e+02 4.811245e-02 -4.974058e-06 -1.806047e+02 4.806794e-02 -4.366942e-07 2.453816e-02 4.451349e-05
2              -1.758027e-03 -4.931606e+01 3.346575e-01 -1.706728e-03 -5.031309e+01 3.300763e-01 -5.129989e-05 9.970371e-01 4.581123e-03
3              -1.784925e-02 5.169514e+01 4.800040e+00 -1.785469e-02 5.082604e+01 4.788581e+00 5.444078e-06 8.691003e-01 1.145991e-02
4              2.079745e-03 1.671473e+02 2.650166e+00 2.053579e-03 1.669291e+02 2.653581e+00 2.616579e-05 2.181518e-01 -3.414952e-03
5              8.184309e-03 4.089072e+01 1.136485e+00 8.176483e-03 4.098374e+01 1.134653e+00 7.825427e-06 -9.302500e-02 1.831811e-03
6              -2.482061e-03 -6.624542e+01 2.353708e+00 -2.450396e-03 -6.602669e+01 2.339310e+00 -3.166474e-05 -2.187274e-01 1.439845e-02
7              -7.172454e-03 -1.055019e+02 1.981559e+00 -7.156695e-03 -1.050660e+02 1.972215e+00 -1.575820e-05 -4.358832e-01 9.343964e-03
8              -6.213356e-03 -7.807671e+01 1.411649e+00 -6.175021e-03 -7.752613e+01 1.400268e+00 -3.833465e-05 -5.505814e-01 1.138076e-02
9              -4.862602e-03 -3.991194e+01 1.002472e+00 -4.738222e-03 -3.948607e+01 9.987752e-01 -1.243800e-04 -4.258674e-01 3.696900e-03
10             -4.008599e-03 4.025391e+00 1.642888e-01 -3.938948e-03 4.162341e+00 1.750001e-01 -6.965111e-05 -1.369502e-01 -1.071128e-02
11             -2.954514e-03 3.429105e+01 -7.386210e-01 -2.899840e-03 3.433085e+01 -7.170684e-01 -5.467435e-05 -3.980049e-02 -2.155263e-02
12             -2.361388e-03 5.686673e+01 -1.463517e+00 -2.363954e-03 5.679660e+01 -1.448196e+00 2.565434e-06 7.012470e-02 -1.532132e-02
13             2.777183e-03 6.551298e+01 -2.535049e+00 2.773495e-03 6.541476e+01 -2.534010e+00 3.687660e-06 9.822268e-02 -1.038685e-03
14             7.414008e-03 6.360219e+01 -3.407308e+00 7.360061e-03 6.348243e+01 -3.418486e+00 5.394646e-05 1.197579e-01 1.117799e-02
15             1.098269e-02 5.671630e+01 -3.880347e+00 1.093372e-02 5.654553e+01 -3.888496e+00 4.896222e-05 1.707721e-01 8.149761e-03
16             1.517726e-02 4.875244e+01 -4.306902e+00 1.510426e-02 4.855892e+01 -4.329431e+00 7.299946e-05 1.935229e-01 2.252916e-02
17             1.754531e-02 4.158776e+01 -4.267480e+00 1.751894e-02 4.139426e+01 -4.296064e+00 2.636641e-05 1.934999e-01 2.858346e-02
18             1.916944e-02 3.668143e+01 -4.173144e+00 1.912132e-02 3.651664e+01 -4.197272e+00 4.812191e-05 1.647842e-01 2.412753e-02
19             2.035038e-02 3.291047e+01 -4.273118e+00 2.032403e-02 3.276569e+01 -4.293371e+00 2.635401e-05 1.447767e-01 2.025326e-02
20             1.949694e-02 2.854491e+01 -4.084926e+00 1.948632e-02 2.841839e+01 -4.101418e+00 1.062791e-05 1.265196e-01 1.649204e-02
21             1.692313e-02 2.199632e+01 -3.639806e+00 1.692634e-02 2.189209e+01 -3.651217e+00 -3.209447e-06 1.042372e-01 1.141183e-02
22             1.214871e-02 1.366922e+01 -2.738151e+00 1.217668e-02 1.358797e+01 -2.748102e+00 -2.796578e-05 8.124954e-02 9.951455e-03
23             5.951290e-03 5.640531e+00 -1.538794e+00 6.001867e-03 5.597601e+00 -1.550504e+00 -5.057757e-05 4.293025e-02 1.171040e-02
24             4.012987e-04 5.420689e-01 -3.914661e-01 4.831450e-04 5.199465e-01 -4.119252e-01 -8.184631e-05 2.212242e-02 2.045906e-02
25             -3.651739e-03 -2.146309e+00 4.683130e-01 -3.574478e-03 -2.145980e+00 4.493831e-01 -7.726170e-05 -3.281740e-04 1.892986e-02
26             -6.007755e-03 -3.083127e+00 9.860901e-01 -5.927093e-03 -3.072810e+00 9.621968e-01 -8.066215e-05 -1.031778e-02 2.389334e-02
27             -6.944851e-03 -3.193222e+00 1.158657e+00 -6.873712e-03 -3.173734e+00 1.138329e+00 -7.113902e-05 -1.948808e-02 2.032819e-02
28             -6.801956e-03 -3.190725e+00 1.097710e+00 -6.717039e-03 -3.169412e+00 1.076054e+00 -8.491723e-05 -2.131284e-02 2.165567e-02
29             -5.620896e-03 -3.142226e+00 8.341629e-01 -5.534463e-03 -3.117654e+00 8.149066e-01 -8.643355e-05 -2.457286e-02 1.925634e-02
30             -4.326225e-03 -2.774640e+00 6.124763e-01 -4.232398e-03 -2.754239e+00 5.901122e-01 -9.382691e-05 -2.040109e-02 2.236405e-02
31             -3.874205e-03 -2.216841e+00 5.956282e-01 -3.771559e-03 -2.198008e+00 5.743831e-01 -1.026461e-04 -1.883309e-02 2.124512e-02
32             -4.394412e-03 -1.466007e+00 8.246829e-01 -4.271809e-03 -1.453624e+00 8.006954e-01 -1.226027e-04 -1.238285e-02 2.398756e-02
33             -5.459394e-03 -7.517313e-01 1.217108e+00 -5.313506e-03 -7.439743e-01 1.190732e+00 -1.458879e-04 -7.756993e-03 2.637535e-02
34             -6.644886e-03 -2.367634e-01 1.665373e+00 -6.462536e-03 -2.324292e-01 1.631471e+00 -1.823499e-04 -4.334293e-03 3.390182e-02
35             -7.668669e-03 -6.891696e-02 2.041745e+00 -7.457774e-03 -6.589550e-02 2.003328e+00 -2.108958e-04 -3.021462e-03 3.841728e-02
36             -8.356735e-03 -2.680670e-01 2.254732e+00 -8.118701e-03 -2.652078e-01 2.211620e+00 -2.380342e-04 -2.859197e-03 4.311121e-02
37             -8.633867e-03 -6.846876e-01 2.311165e+00 -8.376670e-03 -6.789686e-01 2.265413e+00 -2.571967e-04 -5.718944e-03 4.575193e-02
38             -8.476156e-03 -1.133953e+00 2.253498e+00 -8.206980e-03 -1.127781e+00 2.204667e+00 -2.691756e-04 -6.171797e-03 4.883044e-02
39             -8.113752e-03 -1.518576e+00 2.162176e+00 -7.841592e-03 -1.509862e+00 2.111545e+00 -2.721602e-04 -8.713975e-03 5.063074e-02
40             -7.701834e-03 -1.774932e+00 2.078809e+00 -7.437607e-03 -1.765027e+00 2.027225e+00 -2.642268e-04 -9.905381e-03 5.158416e-02
41             -7.271469e-03 -1.876394e+00 1.982518e+00 -7.020631e-03 -1.865791e+00 1.931830e+00 -2.508372e-04 -1.060379e-02 5.068868e-02
42             -6.921330e-03 -1.878739e+00 1.871630e+00 -6.691853e-03 -1.867953e+00 1.823600e+00 -2.294771e-04 -1.078585e-02 4.803039e-02
43             -6.599133e-03 -1.838860e+00 1.735547e+00 -6.395315e-03 -1.828895e+00 1.691632e+00 -2.038175e-04 -9.965134e-03 4.391416e-02
44             -6.167662e-03 -1.822317e+00 1.560408e+00 -5.994087e-03 -1.814658e+00 1.522529e+00 -1.735744e-04 -7.659402e-03 3.787915e-02
