# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   	k_solver      	k_initial     	k_final       	k_iters       	k_converged   	omega_solver  	omega_initial 	omega_final   	omega_iters   	omega_converged	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	smoothSolver	1.000000e+00	9.610950e-02	12	1.000000e+00	9.820270e-02	12	1.000000e+00	8.442040e-02	13	false	smoothSolver	1.000000e+00	6.037310e-02	4	true	smoothSolver	1.456770e-01	9.646100e-03	3	true	GAMG	1.000000e+00	6.226530e-03	10	true
2             	smoothSolver	3.865720e-01	3.763860e-02	10	7.874820e-01	6.249630e-02	11	6.078680e-01	5.351200e-02	11	false	smoothSolver	7.803020e-01	5.509950e-02	3	true	smoothSolver	7.020300e-02	5.071970e-03	5	true	GAMG	2.474960e-01	1.959550e-03	6	true
3             	smoothSolver	3.696990e-01	3.252800e-02	7	6.011730e-01	5.457030e-02	8	4.880510e-01	4.604550e-02	8	false	smoothSolver	8.694720e-02	6.493960e-03	3	true	smoothSolver	3.465620e-02	2.038110e-03	4	true	GAMG	4.665450e-01	4.272110e-03	9	true
4             	smoothSolver	4.069560e-01	4.011350e-02	6	5.600470e-01	4.671000e-02	7	4.622100e-01	3.561310e-02	7	false	smoothSolver	5.302540e-02	3.738510e-03	3	true	smoothSolver	2.502310e-02	1.606360e-03	3	true	GAMG	9.506240e-02	8.798810e-04	9	true
5             	smoothSolver	2.882260e-01	2.712000e-02	7	4.646550e-01	4.025370e-02	7	3.262870e-01	2.576560e-02	7	false	smoothSolver	4.898640e-02	3.753360e-03	3	true	smoothSolver	1.811540e-02	1.183660e-03	3	true	GAMG	1.017380e-01	8.890000e-04	9	true
6             	smoothSolver	2.380240e-01	2.181130e-02	7	4.164320e-01	3.047970e-02	7	2.833520e-01	2.219660e-02	7	false	smoothSolver	5.534650e-02	3.916790e-03	3	true	smoothSolver	1.549630e-02	9.714390e-04	3	true	GAMG	1.224980e-01	1.106630e-03	9	true
7             	smoothSolver	2.272930e-01	2.097590e-02	7	3.848430e-01	2.925260e-02	7	2.582100e-01	2.241090e-02	7	false	smoothSolver	6.232290e-02	4.150230e-03	3	true	smoothSolver	1.468500e-02	8.786600e-04	3	true	GAMG	1.263640e-01	9.233480e-04	9	true
8             	smoothSolver	2.266420e-01	2.178590e-02	7	3.789540e-01	3.045530e-02	7	2.491260e-01	2.123000e-02	7	false	smoothSolver	6.740510e-02	4.366260e-03	3	true	smoothSolver	1.416360e-02	8.074440e-04	3	true	GAMG	1.219760e-01	9.306870e-04	9	true
9             	smoothSolver	2.240530e-01	2.122640e-02	7	3.788210e-01	2.871800e-02	7	2.436520e-01	1.981160e-02	7	false	smoothSolver	6.722370e-02	4.112920e-03	3	true	smoothSolver	1.311410e-02	7.104620e-04	3	true	GAMG	1.253660e-01	1.037030e-03	9	true
10            	smoothSolver	2.138720e-01	1.989490e-02	7	3.693540e-01	3.584410e-02	6	2.433780e-01	1.946890e-02	7	false	smoothSolver	6.549950e-02	3.997820e-03	3	true	smoothSolver	1.246110e-02	7.013280e-04	3	true	GAMG	1.255390e-01	1.082630e-03	9	true
