# Force       
# CofR        : (-1.000000e+01 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1              1.234425e+02 4.177225e-03 1.656589e+01 1.232606e+02 4.175534e-03 1.656705e+01 1.818722e-01 1.691565e-06 -1.153306e-03
2              2.888723e+01 4.554403e-02 5.243000e+00 3.421867e+01 4.523226e-02 5.271141e+00 -5.331442e+00 3.117716e-04 -2.814066e-02
3              1.354324e+02 2.848324e-01 1.963850e+00 1.366051e+02 2.838800e-01 2.035745e+00 -1.172755e+00 9.524380e-04 -7.189504e-02
4              8.977985e+00 4.461712e-01 -1.379467e+01 9.322235e+00 4.470476e-01 -1.378523e+01 -3.442499e-01 -8.764006e-04 -9.442373e-03
5              -5.745953e+00 2.701560e-01 -2.335169e+00 -5.634045e+00 2.705018e-01 -2.364307e+00 -1.119085e-01 -3.457438e-04 2.913738e-02
6              1.127447e+00 2.413419e-01 8.656822e+00 1.119664e+00 2.393802e-01 8.613394e+00 7.782273e-03 1.961675e-03 4.342809e-02
7              5.236557e+00 2.186934e-01 1.255961e+01 5.107886e+00 2.166157e-01 1.248726e+01 1.286714e-01 2.077672e-03 7.234629e-02
8              5.456928e+00 2.154096e-01 9.686744e+00 5.268000e+00 2.122928e-01 9.587520e+00 1.889285e-01 3.116839e-03 9.922412e-02
9              3.277304e+00 1.946068e-01 5.378233e+00 3.055415e+00 1.899266e-01 5.277122e+00 2.218892e-01 4.680193e-03 1.011113e-01
10             7.223277e-01 1.204254e-01 2.995228e-01 5.256063e-01 1.143601e-01 2.150904e-01 1.967214e-01 6.065241e-03 8.443237e-02
11             -6.113994e-01 1.147933e-03 -3.835821e+00 -7.980545e-01 -4.502069e-03 -3.891772e+00 1.866551e-01 5.650001e-03 5.595088e-02
12             -1.137168e+00 -1.162393e-01 -6.370836e+00 -1.300889e+00 -1.221909e-01 -6.401646e+00 1.637211e-01 5.951587e-03 3.081006e-02
