# Moment      
# CofR        : (-1.000000e+01 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1              -5.381935e-05 -1.658292e+02 4.271826e-02 -5.373844e-05 -1.658491e+02 4.270159e-02 -8.091069e-08 1.988408e-02 1.667026e-05
2              -1.577029e-03 -5.290178e+01 4.578661e-01 -1.557417e-03 -5.302211e+01 4.546187e-01 -1.961287e-05 1.203315e-01 3.247450e-03
3              -9.086470e-03 -1.860069e+01 2.890090e+00 -9.081835e-03 -1.928968e+01 2.880424e+00 -4.635925e-06 6.889965e-01 9.665428e-03
4              -1.438645e-02 1.407707e+02 4.528203e+00 -1.446086e-02 1.406936e+02 4.536955e+00 7.440820e-05 7.712568e-02 -8.751638e-03
5              -5.280066e-03 2.397784e+01 2.715915e+00 -5.310804e-03 2.428812e+01 2.719194e+00 3.073827e-05 -3.102810e-01 -3.279550e-03
6              -4.746335e-03 -8.811945e+01 2.414422e+00 -4.672506e-03 -8.766679e+01 2.394542e+00 -7.382885e-05 -4.526568e-01 1.987997e-02
7              -6.972875e-03 -1.280098e+02 2.185205e+00 -6.938924e-03 -1.272665e+02 2.164064e+00 -3.395079e-05 -7.433657e-01 2.114168e-02
8              -8.793202e-03 -9.854222e+01 2.160065e+00 -8.725126e-03 -9.752928e+01 2.128254e+00 -6.807578e-05 -1.012939e+00 3.181015e-02
9              -8.285000e-03 -5.444991e+01 1.962521e+00 -8.184488e-03 -5.342078e+01 1.914932e+00 -1.005121e-04 -1.029130e+00 4.758914e-02
10             -8.076706e-03 -2.585381e+00 1.218289e+00 -7.832272e-03 -1.725126e+00 1.156578e+00 -2.444348e-04 -8.602546e-01 6.171158e-02
11             -4.518452e-03 3.958475e+01 9.150059e-03 -4.296057e-03 4.015456e+01 -4.858958e-02 -2.223953e-04 -5.698099e-01 5.773964e-02
12             1.044017e-03 6.535598e+01 -1.181515e+00 1.298590e-03 6.567066e+01 -1.242368e+00 -2.545731e-04 -3.146825e-01 6.085269e-02
13             9.699631e-03 7.570893e+01 -2.414910e+00 9.885532e-03 7.583542e+01 -2.464116e+00 -1.859012e-04 -1.264876e-01 4.920592e-02
14             1.510452e-02 7.551561e+01 -3.249325e+00 1.530971e-02 7.555157e+01 -3.299470e+00 -2.051919e-04 -3.595921e-02 5.014462e-02
15             1.654871e-02 6.870927e+01 -3.001899e+00 1.679725e-02 6.866520e+01 -3.060001e+00 -2.485377e-04 4.407134e-02 5.810249e-02
