# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   	k_solver      	k_initial     	k_final       	k_iters       	k_converged   	omega_solver  	omega_initial 	omega_final   	omega_iters   	omega_converged	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	smoothSolver	1.000000e+00	9.596640e-02	12	1.000000e+00	9.715770e-02	12	1.000000e+00	8.417620e-02	13	false	smoothSolver	1.000000e+00	6.039170e-02	4	true	smoothSolver	1.438890e-01	9.617020e-03	3	true	GAMG	1.000000e+00	6.417200e-03	10	true
2             	smoothSolver	3.657430e-01	2.967570e-02	11	7.874090e-01	6.811110e-02	11	6.281860e-01	5.836460e-02	11	false	smoothSolver	7.831730e-01	5.875230e-02	3	true	smoothSolver	9.414000e-02	6.661310e-03	5	true	GAMG	2.543470e-01	1.889860e-03	6	true
3             	smoothSolver	3.624990e-01	3.077860e-02	7	5.953020e-01	5.451310e-02	8	5.356600e-01	4.576410e-02	8	false	smoothSolver	9.943620e-02	7.910980e-03	3	true	smoothSolver	3.963680e-02	2.322650e-03	4	true	GAMG	5.241020e-01	3.741020e-03	9	true
4             	smoothSolver	3.971100e-01	3.914270e-02	6	5.588520e-01	4.766350e-02	7	4.714770e-01	3.588880e-02	7	false	smoothSolver	6.298090e-02	4.794580e-03	3	true	smoothSolver	2.952260e-02	1.965950e-03	3	true	GAMG	9.475530e-02	8.359880e-04	9	true
5             	smoothSolver	2.959650e-01	2.882680e-02	7	4.657740e-01	4.226740e-02	7	3.377440e-01	2.679620e-02	7	false	smoothSolver	5.739480e-02	4.747460e-03	3	true	smoothSolver	2.185910e-02	1.469460e-03	3	true	GAMG	9.973870e-02	8.257290e-04	9	true
6             	smoothSolver	2.527380e-01	2.375950e-02	7	4.171250e-01	3.274170e-02	7	2.982660e-01	2.414470e-02	7	false	smoothSolver	6.228150e-02	4.804250e-03	3	true	smoothSolver	1.879010e-02	1.245540e-03	3	true	GAMG	1.210440e-01	9.168930e-04	9	true
7             	smoothSolver	2.445740e-01	2.310510e-02	7	3.859600e-01	3.252180e-02	7	2.725460e-01	2.448310e-02	7	false	smoothSolver	6.732280e-02	4.825470e-03	3	true	smoothSolver	1.795400e-02	1.118620e-03	3	true	GAMG	1.265690e-01	1.157230e-03	8	true
8             	smoothSolver	2.433480e-01	2.406120e-02	7	3.766400e-01	3.272610e-02	7	2.586430e-01	2.259940e-02	7	false	smoothSolver	7.073110e-02	4.785290e-03	3	true	smoothSolver	1.707330e-02	1.000420e-03	3	true	GAMG	1.205480e-01	9.825760e-04	9	true
9             	smoothSolver	2.419190e-01	2.309120e-02	7	3.735620e-01	2.982790e-02	7	2.498060e-01	2.081990e-02	7	false	smoothSolver	6.926360e-02	4.389830e-03	3	true	smoothSolver	1.567850e-02	8.847680e-04	3	true	GAMG	1.260410e-01	1.047690e-03	9	true
10            	smoothSolver	2.318010e-01	2.200280e-02	7	3.620420e-01	2.778170e-02	7	2.455510e-01	2.071340e-02	7	false	smoothSolver	6.639790e-02	4.189510e-03	3	true	smoothSolver	1.473610e-02	8.603840e-04	3	true	GAMG	1.267190e-01	1.013710e-03	9	true
11            	smoothSolver	2.176710e-01	2.071360e-02	7	3.390120e-01	2.583010e-02	7	2.425020e-01	2.001470e-02	7	false	smoothSolver	6.328850e-02	3.948140e-03	3	true	smoothSolver	1.352070e-02	8.107340e-04	3	true	GAMG	1.192920e-01	1.002230e-03	9	true
12            	smoothSolver	1.997850e-01	1.873240e-02	7	3.244980e-01	2.515040e-02	7	2.317770e-01	1.866150e-02	7	false	smoothSolver	6.102600e-02	3.709860e-03	3	true	smoothSolver	1.259290e-02	7.446790e-04	3	true	GAMG	1.123450e-01	8.957890e-04	9	true
13            	smoothSolver	1.838680e-01	1.728840e-02	7	3.091090e-01	2.461510e-02	7	2.164830e-01	1.696560e-02	7	false	smoothSolver	5.814950e-02	3.388680e-03	3	true	smoothSolver	1.141240e-02	6.580820e-04	3	true	GAMG	1.048990e-01	8.140670e-04	9	true
14            	smoothSolver	1.684810e-01	1.618140e-02	7	2.922880e-01	2.391080e-02	7	1.979650e-01	1.587660e-02	7	false	smoothSolver	5.379230e-02	2.996670e-03	3	true	smoothSolver	1.024430e-02	5.837330e-04	3	true	GAMG	9.743180e-02	7.627250e-04	9	true
15            	smoothSolver	1.556440e-01	1.501430e-02	7	2.791330e-01	2.421630e-02	7	1.785790e-01	1.496100e-02	7	false	smoothSolver	5.049130e-02	2.655800e-03	3	true	smoothSolver	9.551920e-03	5.334970e-04	3	true	GAMG	9.313850e-02	8.529910e-04	8	true
16            	smoothSolver	1.428190e-01	1.381450e-02	7	2.677770e-01	2.419240e-02	7	1.626960e-01	1.397770e-02	7	false	smoothSolver	4.747700e-02	2.342000e-03	3	true	smoothSolver	8.807680e-03	5.022420e-04	3	true	GAMG	8.963380e-02	7.611850e-04	8	true
17            	smoothSolver	1.317980e-01	1.282530e-02	7	2.581890e-01	2.387530e-02	7	1.512550e-01	1.287770e-02	7	false	smoothSolver	4.455380e-02	2.118080e-03	3	true	smoothSolver	8.127890e-03	4.654630e-04	3	true	GAMG	8.754700e-02	8.229590e-04	8	true
18            	smoothSolver	1.228470e-01	1.206690e-02	7	2.537550e-01	2.307560e-02	7	1.437450e-01	1.222280e-02	7	false	smoothSolver	4.155820e-02	1.946670e-03	3	true	smoothSolver	7.473860e-03	4.354030e-04	3	true	GAMG	8.487540e-02	7.246720e-04	9	true
19            	smoothSolver	1.161700e-01	1.145050e-02	7	2.468990e-01	2.176460e-02	7	1.390710e-01	1.207050e-02	7	false	smoothSolver	3.941270e-02	1.855200e-03	3	true	smoothSolver	6.836080e-03	3.969440e-04	3	true	GAMG	8.081710e-02	7.611740e-04	9	true
20            	smoothSolver	1.105210e-01	1.082660e-02	7	2.370490e-01	2.063480e-02	7	1.352220e-01	1.204900e-02	7	false	smoothSolver	3.798310e-02	1.831550e-03	3	true	smoothSolver	6.414170e-03	3.692970e-04	3	true	GAMG	7.691080e-02	7.176820e-04	9	true
21            	smoothSolver	1.063330e-01	1.020960e-02	7	2.300600e-01	1.976080e-02	7	1.316530e-01	1.187300e-02	7	false	smoothSolver	3.708630e-02	1.819670e-03	3	true	smoothSolver	6.010940e-03	3.417420e-04	3	true	GAMG	7.439990e-02	6.620230e-04	9	true
22            	smoothSolver	1.044520e-01	9.640990e-03	7	2.282380e-01	1.912900e-02	7	1.294480e-01	1.155900e-02	7	false	smoothSolver	3.736830e-02	1.823830e-03	3	true	smoothSolver	5.630090e-03	3.179650e-04	3	true	GAMG	7.261290e-02	5.899200e-04	9	true
23            	smoothSolver	1.040380e-01	9.074540e-03	7	2.289150e-01	1.871490e-02	7	1.299240e-01	1.104430e-02	7	false	smoothSolver	3.831980e-02	1.829930e-03	3	true	smoothSolver	5.361960e-03	2.938770e-04	3	true	GAMG	7.045010e-02	5.290720e-04	9	true
24            	smoothSolver	1.041270e-01	8.453630e-03	7	2.274310e-01	1.835190e-02	7	1.310240e-01	1.047750e-02	7	false	smoothSolver	3.935830e-02	1.811180e-03	3	true	smoothSolver	5.095530e-03	2.712820e-04	3	true	GAMG	6.964830e-02	5.260420e-04	9	true
