# Force       
# CofR        : (-1.000000e+01 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1              1.443535e+02 4.826406e-03 1.950038e+01 1.441625e+02 4.846149e-03 1.950170e+01 1.909441e-01 -1.974277e-05 -1.324021e-03
2              3.310075e+01 1.086314e-01 6.147673e+00 4.011050e+01 1.085095e-01 6.076852e+00 -7.009749e+00 1.219141e-04 7.082081e-02
3              2.146482e+02 3.398942e-01 4.014231e+01 2.161570e+02 3.405375e-01 4.021886e+01 -1.508836e+00 -6.432636e-04 -7.654907e-02
4              3.357627e+01 3.299390e-01 1.522307e+01 3.403526e+01 3.295915e-01 1.525795e+01 -4.589902e-01 3.474996e-04 -3.488330e-02
5              -1.720772e+00 -2.436380e-02 8.624880e+00 -1.544209e+00 -2.491219e-02 8.641341e+00 -1.765636e-01 5.483886e-04 -1.646064e-02
6              1.392063e+00 7.686789e-02 7.114906e+00 1.421231e+00 7.499291e-02 7.135101e+00 -2.916884e-02 1.874976e-03 -2.019453e-02
7              6.750196e+00 9.753543e-02 8.062974e+00 6.649931e+00 9.540145e-02 8.084399e+00 1.002645e-01 2.133974e-03 -2.142424e-02
8              6.541326e+00 2.085127e-01 6.814336e+00 6.421869e+00 2.074637e-01 6.812968e+00 1.194572e-01 1.048978e-03 1.368148e-03
9              3.118322e+00 2.714080e-01 4.114837e+00 3.005491e+00 2.712689e-01 4.103209e+00 1.128313e-01 1.390231e-04 1.162852e-02
10             -3.432667e-01 2.467082e-01 -1.984758e-01 -3.840775e-01 2.454993e-01 -2.080851e-01 4.081079e-02 1.208825e-03 9.609294e-03
11             -1.981926e+00 7.342946e-02 -3.947224e+00 -1.995312e+00 7.611751e-02 -3.939935e+00 1.338652e-02 -2.688053e-03 -7.289013e-03
12             -2.394631e+00 -9.369372e-02 -6.589833e+00 -2.393409e+00 -8.926954e-02 -6.546314e+00 -1.222137e-03 -4.424181e-03 -4.351971e-02
13             -1.988364e+00 -2.577573e-01 -7.766098e+00 -2.010028e+00 -2.534306e-01 -7.691899e+00 2.166401e-02 -4.326681e-03 -7.419896e-02
14             -1.462399e+00 -3.737021e-01 -7.870906e+00 -1.492603e+00 -3.661928e-01 -7.784409e+00 3.020469e-02 -7.509283e-03 -8.649736e-02
15             -7.867802e-01 -4.652981e-01 -7.435989e+00 -8.390115e-01 -4.589642e-01 -7.354100e+00 5.223129e-02 -6.333934e-03 -8.188815e-02
16             -3.404327e-01 -5.901241e-01 -6.815214e+00 -3.916827e-01 -5.815605e-01 -6.751213e+00 5.125003e-02 -8.563637e-03 -6.400124e-02
