# Moment      
# CofR        : (-1.000000e+01 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1              -9.700174e-03 -1.934354e+02 6.286406e-02 -9.702234e-03 -1.934581e+02 6.303586e-02 2.060232e-06 2.265986e-02 -1.718037e-04
2              -6.925803e-03 -6.154888e+01 1.100448e+00 -7.120858e-03 -6.050511e+01 1.099213e+00 1.950557e-04 -1.043772e+00 1.234807e-03
3              -9.738955e-03 -3.988699e+02 3.439159e+00 -1.006417e-02 -3.995652e+02 3.445828e+00 3.252116e-04 6.953246e-01 -6.669303e-03
4              -7.796725e-03 -1.526097e+02 3.307957e+00 -7.906894e-03 -1.529274e+02 3.304230e+00 1.101686e-04 3.177112e-01 3.726667e-03
5              2.441714e-02 -8.778119e+01 -3.122777e-01 2.430493e-02 -8.792107e+01 -3.182675e-01 1.122095e-04 1.398752e-01 5.989862e-03
6              2.063697e-02 -7.290715e+01 7.186470e-01 2.057564e-02 -7.308890e+01 6.991657e-01 6.132691e-05 1.817480e-01 1.948133e-02
7              1.620995e-02 -8.226396e+01 9.471176e-01 1.618886e-02 -8.246139e+01 9.246384e-01 2.108862e-05 1.974324e-01 2.247921e-02
8              5.182778e-03 -6.883770e+01 2.084459e+00 5.100577e-03 -6.880447e+01 2.072802e+00 8.220150e-05 -3.322542e-02 1.165679e-02
9              -4.406126e-03 -4.089986e+01 2.730880e+00 -4.692059e-03 -4.076342e+01 2.728596e+00 2.859332e-04 -1.364418e-01 2.283932e-03
10             -1.069782e-02 3.238337e+00 2.487621e+00 -1.098415e-02 3.355704e+00 2.474505e+00 2.863288e-04 -1.173663e-01 1.311610e-02
11             -9.326197e-03 4.138223e+01 7.314344e-01 -9.963019e-03 4.132895e+01 7.578755e-01 6.368220e-04 5.328149e-02 -2.644113e-02
12             -7.606057e-03 6.810849e+01 -9.594762e-01 -8.345398e-03 6.768733e+01 -9.151971e-01 7.393409e-04 4.211579e-01 -4.427908e-02
13             -7.244083e-04 7.987435e+01 -2.623190e+00 -1.438880e-03 7.913971e+01 -2.579672e+00 7.144713e-04 7.346346e-01 -4.351834e-02
14             5.987661e-03 8.075345e+01 -3.797545e+00 5.134974e-03 7.989063e+01 -3.721676e+00 8.526870e-04 8.628120e-01 -7.586853e-02
15             1.462243e-02 7.613562e+01 -4.725359e+00 1.389335e-02 7.531519e+01 -4.661690e+00 7.290744e-04 8.204303e-01 -6.366909e-02
16             2.454184e-02 6.961326e+01 -5.989502e+00 2.367551e-02 6.897151e+01 -5.903350e+00 8.663272e-04 6.417555e-01 -8.615206e-02
17             3.111531e-02 6.328482e+01 -6.659550e+00 3.037657e-02 6.281260e+01 -6.596834e+00 7.387377e-04 4.722255e-01 -6.271526e-02
