# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   	k_solver      	k_initial     	k_final       	k_iters       	k_converged   	omega_solver  	omega_initial 	omega_final   	omega_iters   	omega_converged	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	smoothSolver	1.000000e+00	9.582040e-02	12	1.000000e+00	9.570250e-02	12	1.000000e+00	8.171550e-02	13	false	smoothSolver	1.000000e+00	6.034360e-02	4	true	smoothSolver	1.445040e-01	9.691640e-03	3	true	GAMG	1.000000e+00	6.602900e-03	10	true
2             	smoothSolver	3.684850e-01	3.017660e-02	11	7.840480e-01	6.756090e-02	11	6.136470e-01	5.200960e-02	11	false	smoothSolver	7.974000e-01	6.366850e-02	3	true	smoothSolver	1.176900e-01	8.809920e-03	5	true	GAMG	2.487230e-01	1.935880e-03	6	true
3             	smoothSolver	3.863190e-01	2.921950e-02	7	5.996740e-01	5.108600e-02	8	5.834760e-01	4.376040e-02	8	false	smoothSolver	1.190860e-01	1.028910e-02	3	true	smoothSolver	5.053080e-02	2.654130e-03	4	true	GAMG	5.662240e-01	5.642990e-03	8	true
4             	smoothSolver	4.147440e-01	3.933990e-02	6	5.556580e-01	4.877080e-02	7	5.177530e-01	5.157380e-02	6	false	smoothSolver	7.298970e-02	5.833160e-03	3	true	smoothSolver	3.755500e-02	2.283180e-03	3	true	GAMG	8.221280e-02	6.924300e-04	9	true
5             	smoothSolver	2.943970e-01	2.888710e-02	7	4.654990e-01	4.464110e-02	7	3.839970e-01	3.309830e-02	7	false	smoothSolver	6.027780e-02	5.067430e-03	3	true	smoothSolver	2.678600e-02	1.793680e-03	3	true	GAMG	9.496960e-02	7.985350e-04	9	true
6             	smoothSolver	2.414910e-01	2.382640e-02	7	4.188010e-01	3.558860e-02	7	3.356430e-01	2.941130e-02	7	false	smoothSolver	6.217110e-02	4.868780e-03	3	true	smoothSolver	2.226250e-02	1.462510e-03	3	true	GAMG	1.195220e-01	1.096480e-03	9	true
7             	smoothSolver	2.295620e-01	1.759640e-02	8	3.857090e-01	3.396980e-02	7	3.127060e-01	2.880580e-02	7	false	smoothSolver	6.286910e-02	4.618570e-03	3	true	smoothSolver	2.008930e-02	1.202530e-03	3	true	GAMG	1.289660e-01	9.584820e-04	9	true
8             	smoothSolver	2.236620e-01	1.724020e-02	8	3.741740e-01	3.330170e-02	7	3.042590e-01	2.801090e-02	7	false	smoothSolver	6.281940e-02	4.459140e-03	3	true	smoothSolver	1.860070e-02	1.056020e-03	3	true	GAMG	1.250830e-01	1.010540e-03	9	true
9             	smoothSolver	2.193390e-01	2.110960e-02	7	3.664850e-01	3.060130e-02	7	2.935850e-01	2.521690e-02	7	false	smoothSolver	5.875320e-02	3.996400e-03	3	true	smoothSolver	1.671020e-02	9.320780e-04	3	true	GAMG	1.265170e-01	9.674770e-04	9	true
10            	smoothSolver	2.124760e-01	1.976520e-02	7	3.571220e-01	2.843350e-02	7	2.828410e-01	2.277170e-02	7	false	smoothSolver	5.676670e-02	3.857070e-03	3	true	smoothSolver	1.527340e-02	9.045730e-04	3	true	GAMG	1.247720e-01	9.438460e-04	9	true
11            	smoothSolver	2.034340e-01	1.855800e-02	7	3.422090e-01	2.679880e-02	7	2.711080e-01	2.059310e-02	7	false	smoothSolver	5.588070e-02	3.763930e-03	3	true	smoothSolver	1.412290e-02	8.570400e-04	3	true	GAMG	1.187530e-01	9.036590e-04	9	true
12            	smoothSolver	1.901640e-01	1.687840e-02	7	3.333000e-01	2.609200e-02	7	2.548440e-01	2.523060e-02	6	false	smoothSolver	5.465930e-02	3.576560e-03	3	true	smoothSolver	1.297360e-02	7.672160e-04	3	true	GAMG	1.118740e-01	8.856890e-04	9	true
13            	smoothSolver	1.761430e-01	1.534010e-02	7	3.191250e-01	2.477130e-02	7	2.378570e-01	2.327220e-02	6	false	smoothSolver	5.341800e-02	3.323630e-03	3	true	smoothSolver	1.184450e-02	6.829950e-04	3	true	GAMG	1.051390e-01	8.338590e-04	9	true
14            	smoothSolver	1.637430e-01	1.406490e-02	7	2.999200e-01	2.299000e-02	7	2.202320e-01	2.149360e-02	6	false	smoothSolver	5.152730e-02	2.941800e-03	3	true	smoothSolver	1.098320e-02	6.152660e-04	3	true	GAMG	9.890220e-02	9.510760e-04	8	true
15            	smoothSolver	1.533040e-01	1.302170e-02	7	2.833460e-01	2.181060e-02	7	2.019470e-01	2.000110e-02	6	false	smoothSolver	4.933310e-02	2.652010e-03	3	true	smoothSolver	1.021540e-02	5.642410e-04	3	true	GAMG	9.727390e-02	7.851980e-04	8	true
16            	smoothSolver	1.428740e-01	1.186310e-02	7	2.759600e-01	2.136960e-02	7	1.883880e-01	1.832790e-02	6	false	smoothSolver	4.780000e-02	2.399190e-03	3	true	smoothSolver	9.419450e-03	5.238550e-04	3	true	GAMG	9.604140e-02	7.232600e-04	8	true
17            	smoothSolver	1.323920e-01	1.072700e-02	7	2.734620e-01	2.120720e-02	7	1.772030e-01	1.665390e-02	6	false	smoothSolver	4.598050e-02	2.222270e-03	3	true	smoothSolver	8.793460e-03	4.835600e-04	3	true	GAMG	9.145500e-02	7.883350e-04	8	true
18            	smoothSolver	1.213260e-01	9.820180e-03	7	2.713460e-01	2.045040e-02	7	1.682040e-01	1.558250e-02	6	false	smoothSolver	4.339200e-02	2.040880e-03	3	true	smoothSolver	8.039460e-03	4.414350e-04	3	true	GAMG	8.739370e-02	8.489380e-04	8	true
19            	smoothSolver	1.117650e-01	9.175660e-03	7	2.621840e-01	2.608120e-02	6	1.620420e-01	1.496330e-02	6	false	smoothSolver	4.209050e-02	1.954780e-03	3	true	smoothSolver	7.479880e-03	4.138340e-04	3	true	GAMG	8.428100e-02	8.329180e-04	8	true
20            	smoothSolver	1.048360e-01	8.682770e-03	7	2.508130e-01	2.491090e-02	6	1.554990e-01	1.464910e-02	6	false	smoothSolver	4.124880e-02	1.875020e-03	3	true	smoothSolver	6.974810e-03	3.860050e-04	3	true	GAMG	8.060770e-02	7.544380e-04	8	true
21            	smoothSolver	1.007030e-01	8.172070e-03	7	2.422330e-01	2.379420e-02	6	1.478800e-01	1.428410e-02	6	false	smoothSolver	4.032010e-02	1.829890e-03	3	true	smoothSolver	6.499490e-03	3.543140e-04	3	true	GAMG	7.725410e-02	6.581880e-04	8	true
22            	smoothSolver	9.816270e-02	7.652540e-03	7	2.393490e-01	2.316810e-02	6	1.433110e-01	1.391930e-02	6	false	smoothSolver	3.962080e-02	1.822650e-03	3	true	smoothSolver	6.159660e-03	3.322220e-04	3	true	GAMG	7.468690e-02	6.435510e-04	8	true
23            	smoothSolver	9.701610e-02	7.180210e-03	7	2.388180e-01	2.297830e-02	6	1.412100e-01	1.350980e-02	6	false	smoothSolver	3.948640e-02	1.806550e-03	3	true	smoothSolver	5.768610e-03	3.043380e-04	3	true	GAMG	7.331520e-02	6.808930e-04	8	true
24            	smoothSolver	9.680470e-02	9.160200e-03	6	2.354190e-01	2.239140e-02	6	1.413380e-01	1.301390e-02	6	false	smoothSolver	3.978280e-02	1.784730e-03	3	true	smoothSolver	5.509690e-03	2.883310e-04	3	true	GAMG	7.278440e-02	7.087190e-04	8	true
25            	smoothSolver	9.650320e-02	8.620370e-03	6	2.297160e-01	2.165960e-02	6	1.409580e-01	1.248560e-02	6	false	smoothSolver	4.064710e-02	1.789830e-03	3	true	smoothSolver	5.219620e-03	2.691850e-04	3	true	GAMG	7.225190e-02	5.444030e-04	9	true
26            	smoothSolver	9.513530e-02	8.116680e-03	6	2.265180e-01	2.168880e-02	6	1.403180e-01	1.218590e-02	6	false	smoothSolver	4.133480e-02	1.801270e-03	3	true	smoothSolver	4.841080e-03	2.500700e-04	3	true	GAMG	7.209580e-02	5.538260e-04	9	true
27            	smoothSolver	9.208440e-02	7.671460e-03	6	2.235080e-01	2.166350e-02	6	1.390540e-01	1.200040e-02	6	false	smoothSolver	4.142230e-02	1.802630e-03	3	true	smoothSolver	4.515360e-03	2.316060e-04	3	true	GAMG	7.235030e-02	5.807670e-04	9	true
28            	smoothSolver	8.809730e-02	7.263990e-03	6	2.169630e-01	2.154430e-02	6	1.376090e-01	1.190440e-02	6	false	smoothSolver	4.122350e-02	1.788030e-03	3	true	smoothSolver	4.219770e-03	2.159550e-04	3	true	GAMG	7.337640e-02	5.898460e-04	9	true
29            	smoothSolver	8.467370e-02	6.885690e-03	6	2.115160e-01	1.608240e-02	7	1.368210e-01	1.187410e-02	6	false	smoothSolver	4.018170e-02	1.767350e-03	3	true	smoothSolver	3.880140e-03	2.006600e-04	3	true	GAMG	7.576190e-02	6.766530e-04	9	true
30            	smoothSolver	8.192110e-02	6.646510e-03	6	2.053790e-01	1.563260e-02	7	1.348550e-01	1.183450e-02	6	false	smoothSolver	3.833340e-02	1.757160e-03	3	true	smoothSolver	3.558550e-03	1.893600e-04	3	true	GAMG	7.836330e-02	7.811890e-04	8	true
31            	smoothSolver	7.928400e-02	6.512210e-03	6	1.994500e-01	1.522310e-02	7	1.297790e-01	1.160480e-02	6	false	smoothSolver	3.623260e-02	1.754970e-03	3	true	smoothSolver	3.272260e-03	1.776930e-04	3	true	GAMG	8.046610e-02	7.556720e-04	8	true
32            	smoothSolver	7.567430e-02	6.340930e-03	6	1.944450e-01	1.524390e-02	7	1.231460e-01	1.129040e-02	6	false	smoothSolver	3.420430e-02	1.753920e-03	3	true	smoothSolver	2.999110e-03	1.679800e-04	3	true	GAMG	8.154610e-02	7.392020e-04	8	true
33            	smoothSolver	7.051960e-02	6.100250e-03	6	1.894240e-01	1.536970e-02	7	1.163140e-01	1.104250e-02	6	false	smoothSolver	3.194360e-02	1.735030e-03	3	true	smoothSolver	2.717830e-03	1.568440e-04	3	true	GAMG	8.075720e-02	7.240840e-04	8	true
34            	smoothSolver	6.466160e-02	5.800110e-03	6	1.828490e-01	1.541240e-02	7	1.097750e-01	1.086670e-02	6	false	smoothSolver	2.963680e-02	1.696770e-03	3	true	smoothSolver	2.454810e-03	1.446510e-04	3	true	GAMG	7.892980e-02	6.925420e-04	8	true
35            	smoothSolver	5.888760e-02	5.461550e-03	6	1.751670e-01	1.536550e-02	7	1.039040e-01	8.075060e-03	7	false	smoothSolver	2.760810e-02	1.647320e-03	3	true	smoothSolver	2.231770e-03	1.340590e-04	3	true	GAMG	7.724150e-02	6.702080e-04	8	true
36            	smoothSolver	5.424080e-02	5.117900e-03	6	1.673450e-01	1.525550e-02	7	9.790680e-02	7.915060e-03	7	false	smoothSolver	2.571830e-02	1.595230e-03	3	true	smoothSolver	2.031090e-03	1.242560e-04	3	true	GAMG	7.589760e-02	6.472910e-04	8	true
37            	smoothSolver	5.054940e-02	4.796650e-03	6	1.596500e-01	1.477410e-02	7	9.309890e-02	7.708720e-03	7	false	smoothSolver	2.395830e-02	1.540590e-03	3	true	smoothSolver	1.856390e-03	1.163230e-04	3	true	GAMG	7.516720e-02	6.342780e-04	8	true
38            	smoothSolver	4.768290e-02	4.528860e-03	6	1.504540e-01	1.386000e-02	7	8.963800e-02	7.437120e-03	7	false	smoothSolver	2.232170e-02	1.481120e-03	3	true	smoothSolver	1.701200e-03	1.091050e-04	3	true	GAMG	7.480160e-02	6.429490e-04	8	true
39            	smoothSolver	4.514510e-02	4.287840e-03	6	1.413080e-01	1.284430e-02	7	8.734680e-02	7.242060e-03	7	false	smoothSolver	2.101860e-02	1.424990e-03	3	true	smoothSolver	1.586390e-03	1.042610e-04	3	true	GAMG	7.445770e-02	6.592100e-04	8	true
