# Force       
# CofR        : (-1.000000e+01 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1              9.497519e+01 -2.596184e-03 2.172151e+01 9.480140e+01 -2.595923e-03 2.172320e+01 1.737894e-01 -2.606695e-07 -1.691935e-03
2              2.185221e+01 5.389182e-02 5.728096e+00 2.665276e+01 5.343076e-02 5.920995e+00 -4.800550e+00 4.610565e-04 -1.928993e-01
3              1.708069e+02 5.197846e-01 -5.419319e+00 1.717573e+02 5.188329e-01 -5.340934e+00 -9.503849e-01 9.516677e-04 -7.838483e-02
4              3.166546e+01 2.984411e-01 -1.585603e+01 3.193322e+01 2.985817e-01 -1.583779e+01 -2.677545e-01 -1.406691e-04 -1.823703e-02
5              5.081034e+00 1.801504e-01 -3.963034e+00 5.151519e+00 1.798049e-01 -3.979182e+00 -7.048475e-02 3.454659e-04 1.614768e-02
6              6.586989e+00 1.274574e-01 5.593778e+00 6.552082e+00 1.270793e-01 5.564480e+00 3.490764e-02 3.780575e-04 2.929854e-02
7              8.829397e+00 1.641364e-02 9.120004e+00 8.677575e+00 1.626819e-02 9.075219e+00 1.518220e-01 1.454490e-04 4.478471e-02
8              8.403296e+00 6.574177e-02 6.507169e+00 8.202848e+00 6.545870e-02 6.451823e+00 2.004486e-01 2.830781e-04 5.534605e-02
9              6.368327e+00 7.641051e-02 2.770692e+00 6.130864e+00 7.336640e-02 2.725550e+00 2.374628e-01 3.044111e-03 4.514165e-02
10             3.867968e+00 7.253670e-02 -1.470880e+00 3.669665e+00 6.946934e-02 -1.493525e+00 1.983028e-01 3.067358e-03 2.264462e-02
11             2.479718e+00 2.112976e-02 -4.454426e+00 2.278273e+00 1.863538e-02 -4.466024e+00 2.014451e-01 2.494376e-03 1.159770e-02
12             1.496215e+00 -4.192855e-02 -6.299544e+00 1.344651e+00 -4.392287e-02 -6.301321e+00 1.515636e-01 1.994319e-03 1.776725e-03
13             1.099495e+00 -1.940409e-01 -6.908845e+00 9.581751e-01 -1.970307e-01 -6.910186e+00 1.413196e-01 2.989814e-03 1.340838e-03
14             6.352091e-01 -3.047919e-01 -6.790625e+00 5.293128e-01 -3.098769e-01 -6.786714e+00 1.058963e-01 5.085006e-03 -3.911490e-03
15             5.692542e-01 -3.621491e-01 -6.152974e+00 4.724429e-01 -3.672799e-01 -6.141602e+00 9.681125e-02 5.130746e-03 -1.137180e-02
16             6.251765e-01 -3.976948e-01 -5.345163e+00 5.453991e-01 -4.029210e-01 -5.329880e+00 7.977734e-02 5.226159e-03 -1.528331e-02
17             6.481042e-01 -3.830011e-01 -4.681701e+00 5.821268e-01 -3.895944e-01 -4.664160e+00 6.597741e-02 6.593281e-03 -1.754173e-02
18             5.881378e-01 -4.295865e-01 -4.148610e+00 5.371849e-01 -4.347107e-01 -4.132400e+00 5.095289e-02 5.124211e-03 -1.620994e-02
19             4.688056e-01 -4.825853e-01 -3.652727e+00 4.235383e-01 -4.873714e-01 -3.637129e+00 4.526733e-02 4.786108e-03 -1.559795e-02
20             2.591544e-01 -5.281765e-01 -3.044503e+00 2.250598e-01 -5.329934e-01 -3.030069e+00 3.409459e-02 4.816837e-03 -1.443419e-02
21             1.070888e-01 -5.244131e-01 -2.177515e+00 7.753039e-02 -5.291780e-01 -2.165729e+00 2.955838e-02 4.764914e-03 -1.178573e-02
