# Moment      
# CofR        : (-1.000000e+01 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1              4.066211e-05 -2.184174e+02 -2.626144e-02 4.064731e-05 -2.184413e+02 -2.625878e-02 1.479640e-08 2.392951e-02 -2.652759e-06
2              -2.428920e-03 -5.796551e+01 5.408511e-01 -2.400859e-03 -5.978354e+01 5.360381e-01 -2.806098e-05 1.818036e+00 4.812976e-03
3              -2.127439e-02 5.973176e+01 5.248212e+00 -2.126092e-02 5.896399e+01 5.238535e+00 -1.346240e-05 7.677701e-01 9.677796e-03
4              -6.064881e-03 1.633217e+02 2.989515e+00 -6.064617e-03 1.631477e+02 2.990805e+00 -2.632410e-07 1.739659e-01 -1.289902e-03
5              -3.655808e-03 4.116052e+01 1.776593e+00 -3.658208e-03 4.133251e+01 1.772879e+00 2.399896e-06 -1.719902e-01 3.714129e-03
6              -5.277853e-03 -5.662688e+01 1.247600e+00 -5.277775e-03 -5.632375e+01 1.243511e+00 -7.778246e-08 -3.031298e-01 4.089085e-03
7              -4.726889e-03 -9.276010e+01 1.394752e-01 -4.759884e-03 -9.230189e+01 1.374076e-01 3.299535e-05 -4.582122e-01 2.067572e-03
8              -6.928292e-03 -6.605984e+01 6.541558e-01 -7.018597e-03 -6.549602e+01 6.505608e-01 9.030531e-05 -5.638178e-01 3.595031e-03
9              -7.227998e-03 -2.785829e+01 7.744188e-01 -7.181858e-03 -2.739974e+01 7.427692e-01 -4.613960e-05 -4.585491e-01 3.164962e-02
10             -7.054101e-03 1.548404e+01 7.326463e-01 -7.042493e-03 1.571319e+01 7.008633e-01 -1.160800e-05 -2.291526e-01 3.178297e-02
11             -4.019654e-03 4.593415e+01 2.132733e-01 -4.043403e-03 4.604941e+01 1.873441e-01 2.374889e-05 -1.152629e-01 2.592926e-02
12             4.187644e-04 6.469975e+01 -4.254264e-01 2.700503e-04 6.471528e+01 -4.462573e-01 1.487141e-04 -1.553299e-02 2.083090e-02
13             8.843379e-03 7.081253e+01 -1.964986e+00 8.851378e-03 7.082315e+01 -1.995993e+00 -7.999182e-06 -1.061996e-02 3.100684e-02
14             1.517861e-02 6.947930e+01 -3.084852e+00 1.518491e-02 6.943680e+01 -3.136915e+00 -6.303707e-06 4.249952e-02 5.206283e-02
15             1.895673e-02 6.284982e+01 -3.664029e+00 1.898486e-02 6.273142e+01 -3.716425e+00 -2.813415e-05 1.184013e-01 5.239565e-02
16             2.293360e-02 5.447864e+01 -4.025307e+00 2.290773e-02 5.432126e+01 -4.078475e+00 2.586897e-05 1.573769e-01 5.316772e-02
17             2.376216e-02 4.757855e+01 -3.882040e+00 2.385150e-02 4.739878e+01 -3.948896e+00 -8.933659e-05 1.797673e-01 6.685599e-02
18             2.691509e-02 4.201660e+01 -4.359321e+00 2.697862e-02 4.185088e+01 -4.411265e+00 -6.352784e-05 1.657192e-01 5.194394e-02
19             2.846144e-02 3.687114e+01 -4.895001e+00 2.855007e-02 3.671182e+01 -4.943702e+00 -8.862526e-05 1.593190e-01 4.870063e-02
20             2.869823e-02 3.064469e+01 -5.354113e+00 2.879953e-02 3.049740e+01 -5.403073e+00 -1.012975e-04 1.472899e-01 4.895926e-02
21             2.592154e-02 2.186073e+01 -5.310555e+00 2.604338e-02 2.174023e+01 -5.359043e+00 -1.218374e-04 1.205050e-01 4.848811e-02
22             2.293664e-02 1.202087e+01 -5.178515e+00 2.306819e-02 1.192631e+01 -5.227709e+00 -1.315464e-04 9.456237e-02 4.919428e-02
23             1.985869e-02 4.889786e+00 -4.802609e+00 1.998152e-02 4.826312e+00 -4.837931e+00 -1.228357e-04 6.347432e-02 3.532205e-02
24             1.669618e-02 8.692930e-01 -4.274343e+00 1.685200e-02 8.249416e-01 -4.315675e+00 -1.558288e-04 4.435142e-02 4.133116e-02
25             1.289505e-02 -5.795082e-01 -3.377102e+00 1.303950e-02 -6.062104e-01 -3.412784e+00 -1.444517e-04 2.670226e-02 3.568283e-02
